absolute_path,relative_path,filename,parent_folder,file_size_bytes,page_count,sha256,classification,case_ids,case_names,page_ranges,previously_omitted,reason,visually_checked,render_directory
/Users/chim/Codex开发项目/案例展示网站/旧案例/SC-平面设计案例.pdf,旧案例/SC-平面设计案例.pdf,SC-平面设计案例.pdf,旧案例,167864578,17,6ef99c5c625aec58bde092da7e98d7e74fd7b889764d13408b7d3fd0b24af46e,LEGACY_REFERENCE,L001 | L002 | L003 | L004 | L005 | L006 | L007 | L008 | L009 | L010 | L011 | L012,仙兔策划·太空兔 Space Bunnies | 华南行 | 咖啡肆拾 Coffee Forty | MaxDona | 标志设计合集 I | 标志设计合集 II | 迪迈猫粮 | 胖福月饼 | hacinana | 春莱 ChunLai·品牌视觉 | 春莱 ChunLai·品牌升级 | 文柠记,L001–L012 = pages 2–13; page 1 cover; pages 14–17 pricing/notice,false,Legacy multi-case boundary/reference PDF; AI/PSD remains the formal asset authority.,true,case-audit-v3/pdf-renders/LEGACY-FLAT
/Users/chim/Codex开发项目/案例展示网站/旧案例/SC-摄影案例.pdf,旧案例/SC-摄影案例.pdf,SC-摄影案例.pdf,旧案例,231785833,21,71395317fce8166689c319be8cee43637f0663e10f77d9b015f4d1c6b8565cc1,LEGACY_REFERENCE,L013 | L014 | L015 | L016 | L017 | L018 | L019 | L020 | L021 | L022 | L023 | L024 | L025 | L026 | L027 | L028 | L029 | L030,骄慕·养生茶 | 骄慕·枸杞原浆 | 后谷咖啡 | 七港九·港九莓莓 | 七港九·茶饮系列 | PavoMea·饼干 | PavoMea·脆栗子 | PavoMea·玛德琳蛋糕 | ALASSIS·香薰蜡烛 | mosanana·眼镜 | 迷物家居 | CT BEE·咖啡与奶茶 | 紫庐·中西餐 | 李大妈把猪脚米线 | 乌铜走银·茶与工艺 | 乌铜走银·银器首饰 | 陇上花牛苹果汁 | 春莱 ChunLai·茶饮摄影,L013–L030 = pages 2–19; page 1 cover; pages 20–21 pricing/notice,false,Legacy multi-case boundary/reference PDF; AI/PSD remains the formal asset authority.,true,case-audit-v3/pdf-renders/LEGACY-PHOTO
/Users/chim/Codex开发项目/案例展示网站/新案例/260520-豚豚冰屋Tone/260520-豚豚冰屋Tone.pdf,新案例/260520-豚豚冰屋Tone/260520-豚豚冰屋Tone.pdf,260520-豚豚冰屋Tone.pdf,新案例/260520-豚豚冰屋Tone,5585916,30,d8b774041c5349a851385c2354bdd71bf8958c899bfb617dc7fa2ea3def1f806,NEW_CASE_FINAL,N011,豚豚冰屋 Tone,pages 1–30,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N011
/Users/chim/Codex开发项目/案例展示网站/新案例/260526-郑社长满分果汁/260526-郑社长满分果汁.pdf,新案例/260526-郑社长满分果汁/260526-郑社长满分果汁.pdf,260526-郑社长满分果汁.pdf,新案例/260526-郑社长满分果汁,11209629,40,ac37d5f9b0f53c2692c4eeec28ceb7bba98866bc114851fd3e5689c26d908ae3,NEW_CASE_FINAL,N012,郑社长满分果汁,pages 1–40,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N012
/Users/chim/Codex开发项目/案例展示网站/新案例/260602-堡乎乎/260602-堡乎乎.pdf,新案例/260602-堡乎乎/260602-堡乎乎.pdf,260602-堡乎乎.pdf,新案例/260602-堡乎乎,5511006,35,7a5b8c51474ff40de768aaca7aea6055777bca00666c813cbe7d82ad021984e1,NEW_CASE_FINAL,N013,堡乎乎 Manual Burger,pages 1–35,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N013
/Users/chim/Codex开发项目/案例展示网站/新案例/260623-欢树/260623-欢树.pdf,新案例/260623-欢树/260623-欢树.pdf,260623-欢树.pdf,新案例/260623-欢树,6736584,33,99f9cabe1b6969a9dbbf0ab5779b1c562229919e30f04ffbc8e9896037ed70f0,NEW_CASE_FINAL,N014,欢树 Halo Tree,pages 1–33,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N014
/Users/chim/Codex开发项目/案例展示网站/新案例/260629-台滋味·台式厨房/260629-台滋味·台式厨房.pdf,新案例/260629-台滋味·台式厨房/260629-台滋味·台式厨房.pdf,260629-台滋味·台式厨房.pdf,新案例/260629-台滋味·台式厨房,3835934,25,a012a972033109b18b5632efdb32b6fd0a5f9f56f4c5ef5be8ebb07de8548f85,NEW_CASE_FINAL,N015,台滋味·台式厨房,pages 1–25,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N015
/Users/chim/Codex开发项目/案例展示网站/新案例/260707-荟HUI·威士忌水烟吧/260707-荟HUI·威士忌水烟吧.pdf,新案例/260707-荟HUI·威士忌水烟吧/260707-荟HUI·威士忌水烟吧.pdf,260707-荟HUI·威士忌水烟吧.pdf,新案例/260707-荟HUI·威士忌水烟吧,4246169,25,3a3617d994a94abfc1b7b804b5a2c33fc92440b24764b68385a1a8612a95da6c,NEW_CASE_FINAL,N016,荟 HUI·威士忌水烟吧,pages 1–25,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N016
/Users/chim/Codex开发项目/案例展示网站/新案例/260717-大利村/260717-大利村.pdf,新案例/260717-大利村/260717-大利村.pdf,260717-大利村.pdf,新案例/260717-大利村,5288563,30,bfba1f602f53af4f2d02c09fe5852259805a184a30a92a968d58338c3b9eae75,NEW_CASE_FINAL,N017,大利村·手工鲜汤粉,pages 1–30,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N017
/Users/chim/Codex开发项目/案例展示网站/新案例/260730-觅咔咔/260730-觅咔咔 .pdf,新案例/260730-觅咔咔/260730-觅咔咔 .pdf,260730-觅咔咔 .pdf,新案例/260730-觅咔咔,9656377,33,ff953e5efcf863698bebd195c2aa6d679c456e41ced82e2708dc78417769bc56,NEW_CASE_FINAL,N018,觅咔咔 Meekaka,pages 1–33,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N018
/Users/chim/Codex开发项目/案例展示网站/新案例/260805-鮮燙町/260805-鮮燙町.pdf,新案例/260805-鮮燙町/260805-鮮燙町.pdf,260805-鮮燙町.pdf,新案例/260805-鮮燙町,3904616,23,ca7a885c43ed290b008a9bac42cfa682c43653610d6a27f56d875ddf8403c861,NEW_CASE_FINAL,N019,鮮燙町 Senmachi,pages 1–23,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N019
/Users/chim/Codex开发项目/案例展示网站/新案例/260811-巴适的钵/260811-巴适的钵.pdf,新案例/260811-巴适的钵/260811-巴适的钵.pdf,260811-巴适的钵.pdf,新案例/260811-巴适的钵,5567206,20,5bd14b0108aad3e2cb004bfe402f998d6e4e50db1c9aae858551acd74997f8cc,NEW_CASE_FINAL,N020,巴适的钵 Awesome Bo,pages 1–20,false,Independent new brand project; every page was rendered and visually classified for V3.,true,case-audit-v3/pdf-renders/N020
